UACE Code,Primary UZA Name,UZA Area SQ Miles,UZA Population,Cities
80389,"Seattle--Tacoma, WA",982.52,3544011,"Seattle WA, Lakewood WA, Everett WA, Tacoma WA, Olympia WA"
83764,"Spokane, WA",171.67,447279,Spokane WA
97507,"Yakima, WA",55.77,133145,Yakima WA
28117,"Eugene, OR",73.49,270179,Eugene OR
71317,"Portland, OR--WA",519.3,2104238,"Portland OR, Vancouver WA, Wilsonville OR"
08785,"Boise City, ID",139.23,433180,"Meridian ID, Boise ID"
02305,"Anchorage, AK",91.69,249252,Anchorage AK
65242,"Olympia--Lacey, WA",106.21,208157,Olympia WA
09946,"Bremerton, WA",146.91,224449,Bremerton WA
06652,"Bellingham, WA",50.13,128979,Bellingham WA
78229,"Salem, OR",72.68,268331,Salem OR
55981,"Medford, OR",63.02,171640,Medford OR
72505,"Providence, RI--MA",544.25,1285806,"Providence RI, Taunton MA"
09271,"Boston, MA--NH",1655.89,4382009,"Boston MA, Brockton MA, Lowell MA, Haverhill MA, Gloucester MA, Framingham MA"
83926,"Springfield, MA--CT",201.77,442145,Springfield MA
97291,"Worcester, MA--CT",260.29,482085,Worcester MA
71263,"Portland, ME",123.88,205356,Portland ME
37243,"Hartford, CT",535.93,977158,"Hartford CT, New Britain CT, Newington CT, Berlin CT"
10162,"Bridgeport--Stamford, CT--NY",397.29,916408,"Derby CT, Bridgeport CT, Hartford CT, Norwalk CT, Milford CT"
62407,"New Haven, CT",298.01,561456,"Hamden CT, Hartford CT"
22096,"Danbury, CT--NY",118.49,171680,Danbury CT
49096,"Leominster--Fitchburg, MA",52.93,111790,Fitchburg MA
11755,"Burlington, VT",62.01,118032,Burlington VT
61165,"Nashua, NH--MA",195.56,242984,Nashua NH
07732,"Binghamton, NY",69.73,155942,Binghamton NY
11350,"Buffalo, NY",340.5,948864,Buffalo NY
63217,"New York--Jersey City--Newark, NY--NJ",3248.12,19426449,"Long Beach NY, Brooklyn NY, Huntington NY, Yaphank NY, White Plains NY, New York NY, Newark NJ, New City NY, Carmel NY, Staten Island NY, Hoboken NJ, Mahwah NJ, New Brunswick NJ, Spring Valley NY, Paramus NJ, Dover NJ, Elizabeth NJ, Bethlehem PA, Hurley NY, Weehawken NJ, Hackensack NJ, Mineola NY, Somerville NJ, Calverton NY, Atlantic Highlands NJ"
71803,"Poughkeepsie--Newburgh, NY",209.92,314766,"Poughkeepsie NY, Kingston NY"
86302,"Syracuse, NY",180.53,413660,Syracuse NY
69076,"Philadelphia, PA--NJ--DE--MD",1898.19,5696125,"Camden NJ, Audubon NJ, Philadelphia PA, Harrisburg PA, Dover DE, Pottstown PA"
75664,"Rochester, NY",291.83,704327,Rochester NY
15481,"Charleston, WV",92.92,140958,Charleston WV
40753,"Huntington, WV--KY--OH",128.87,200157,Huntington WV
74746,"Richmond, VA",512.35,1059150,Richmond VA
75421,"Roanoke, VA",125.5,217312,Roanoke VA
52201,"Lynchburg, VA",91.6,125596,Lynchburg VA
01495,"Allentown--Bethlehem, PA--NJ",261.55,621703,Allentown PA
01792,"Altoona, PA",37.01,74426,Altoona PA
43291,"Johnstown, PA",34.7,61521,Johnstown PA
27766,"Erie, PA",73.34,187820,Erie PA
80227,"Scranton, PA",162.16,366713,"Kingston PA, Scranton PA"
69697,"Pittsburgh, PA",906.64,1745039,"Pittsburgh PA, Rochester PA, Greensburg PA, Charleroi PA, Washington PA"
95455,"Williamsport, PA",27.72,55344,Williamsport PA
92242,"Washington--Arlington, DC--VA--MD",1294.51,5174759,"Washington DC, Rockville MD, Fairfax VA, Woodbridge VA, Alexandria VA, Arlington VA, Leesburg VA, Upper Marlboro MD"
04843,"Baltimore, MD",654.93,2212038,"Baltimore MD, Annapolis MD, Annapolis Junction MD"
94726,"Wheeling, WV--OH",36.81,57695,Wheeling WV
84493,"State College, PA",25.92,83674,State College PA
15832,"Chattanooga, TN--GA",291.7,398569,Chattanooga TN
45640,"Knoxville, TN",431.91,597257,Knoxville TN
56116,"Memphis, TN--MS--AR",491.27,1056190,Memphis TN
61273,"Nashville-Davidson, TN",584.95,1158642,"Madison TN, Franklin TN"
03358,"Asheville, NC",248.58,285776,Asheville NC
95833,"Wilmington, NC",142.25,255329,Wilmington NC
73261,"Raleigh, NC",554.82,1106646,Raleigh NC
15670,"Charlotte, NC--SC",657.61,1379873,Charlotte NC
29440,"Fayetteville, NC",195.92,325008,Fayetteville NC
96670,"Winston-Salem, NC",310.79,420924,Winston Salem NC
42211,"Jackson, MS",237.16,347693,Jackson MS
49582,"Lexington-Fayette, KY",83.99,315631,Lexington KY
16885,"Cincinnati, OH--KY",752.28,1686744,"Covington KY, Cincinnati OH, Hamilton OH, Batavia OH"
00901,"Albany, GA",66.51,85960,Albany GA
03817,"Atlanta, GA",2553.04,5100112,"Atlanta GA, Marietta GA, Douglasville GA, Lawrenceville GA"
04222,"Augusta-Richmond County, GA--SC",273.29,431480,Augusta GA
79768,"Savannah, GA",205.85,309466,Savannah GA
86599,"Tampa--St. Petersburg, FL",968.94,2783045,"Saint Petersburg FL, Tampa FL, New Port Richey FL"
13510,"Cape Coral, FL",331.8,599242,Fort Myers FL
56602,"Miami--Fort Lauderdale, FL",1244.18,6077522,"Fort Lauderdale FL, Miami FL, West Palm Beach FL, Pompano Beach FL"
32167,"Gainesville, FL",87.7,213748,Gainesville FL
46828,"Lakeland, FL",145.93,277915,Lakeland FL
65863,"Orlando, FL",644.61,1853896,"Orlando FL, Tallahassee FL"
86464,"Tallahassee, FL",125.46,252934,Tallahassee FL
68482,"Pensacola, FL--AL",262.54,390172,Pensacola FL
42346,"Jacksonville, FL",573.27,1247374,Jacksonville FL
57925,"Mobile, AL",220.75,321907,Mobile AL
58600,"Montgomery, AL",145.1,254348,Montgomery AL
03763,"Athens-Clarke County, GA",91.85,143213,Athens GA
25228,"Durham, NC",183.36,396118,"Chapel Hill NC, Durham NC"
42265,"Jackson, TN",47.74,72809,Jackson TN
76204,"Rome, GA",44.89,60403,Rome GA
67105,"Palm Bay--Melbourne, FL",250.55,510675,Titusville FL
40780,"Huntsville, AL",214.77,329066,Huntsville AL
79093,"San Juan, PR",763.6,1844410,San Juan PR
02764,"Appleton, WI",107.78,230967,Appleton WI
34813,"Green Bay, WI",113.66,224156,Green Bay WI
45910,"La Crosse, WI--MN",42.24,98872,La Crosse WI
53200,"Madison, WI",149.7,450305,Madison WI
57466,"Milwaukee, WI",463.68,1306795,"Milwaukee WI, Waukesha WI, West Bend WI, Port Washington WI"
00766,"Akron, OH",300.64,541879,"Akron OH, Kent OH"
13375,"Canton, OH",180.19,295319,Canton OH
17668,"Cleveland, OH",713.81,1712178,"Cleveland OH, Painesville OH, Medina OH"
19234,"Columbus, OH",516.16,1567254,"Columbus OH, Delaware OH"
22528,"Dayton, OH",319.89,674046,"Dayton OH, Xenia OH, Troy OH"
87868,"Toledo, OH--MI",240.71,497952,Toledo OH
97831,"Youngstown, OH",195.96,320901,Youngstown OH
24850,"Duluth, MN--WI",66.87,119411,Duluth MN
57628,"Minneapolis--St. Paul, MN",1014.79,2914866,"Minneapolis MN, Maple Grove MN, Eden Prairie MN, Burnsville MN"
