NTD ID,Agency Name,City,State,Primary UZA Name,UACE Code,UZA Area SQ Miles,UZA Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
00001,King County (KCM) - Metro Transit Department,Seattle,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,,,,,,,,,,,,81002121.0,75485244.0,79426379.0,89455581.0,83677329.0,96930681.0,121823960.0,136270876.0,150083324.0,164218106.0,181315403.0,188918502.0,200177953.0,202551056.0,222670634.0,231398647.0,237704184.0,239071077.0
00003,Pierce County Transportation Benefit Area Authority,Lakewood,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,,,,,,,,,,,,8505024.0,8937798.0,9368452.0,12209418.0,11515007.0,15294888.0,17732585.0,19813445.0,19106017.0,20400543.0,20990005.0,21780912.0,22469702.0,23070526.0,22978313.0,23303250.0,23261059.0,22882521.0
00005,City of Everett (ET),Everett,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,,,,,,,,,,,,810051.0,1018853.0,1090503.0,1073990.0,837548.0,1061083.0,1132685.0,1123655.0,1310825.0,1291027.0,1316975.0,1613726.0,1554008.0,1505893.0,1391585.0,1309711.0,1313617.0,1862892.0
00023,City of Seattle (SMS),Seattle,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,,,,,,,,,,,,2462086.0,2761493.0,1010942.0,2153805.0,370558.0,2735891.0,2707888.0,2950195.0,3053436.0,3307997.0,4074219.0,3991266.0,4110232.0,4334884.0,4212142.0,4050470.0,4265280.0,4151874.0
00028,County of Pierce,Tacoma,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,,,,,,,,,,,,1220552.0,1253823.0,1479438.0,1616163.0,1881778.0,2014782.0,1886133.0,2001360.0,1168672.0,1897368.0,1939609.0,2000989.0,2154764.0,2233060.0,2369795.0,2004543.0,2686520.0,2778623.0
00029,Snohomish County Public Transportation Benefit Area Corporation (CT),Everett,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,,,,,,,,,,,,12692509.0,12140586.0,13521637.0,14826688.0,16007984.0,18822934.0,21282449.0,21617884.0,24596567.0,25141210.0,25566159.0,27834280.0,28566284.0,29628648.0,30595173.0,30837934.0,31913904.0,32738070.0
00035,Washington State Ferries (WSF),Olympia,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,,,,,,,,,,,,26526214.0,50504731.0,56970403.0,58457439.0,32520094.0,34283767.0,35698924.0,35208864.0,36402916.0,35587378.0,36280648.0,37615750.0,38179089.0,39554501.0,40721339.0,41670964.0,75707452.0,76422888.0
00040,Central Puget Sound Regional Transit Authority (ST),Seattle,WA,"Seattle--Tacoma, WA",80389,982.52,3544011,,,,,,,,,,,,9225387.0,11624553.0,13205535.0,16482718.0,18051544.0,22028754.0,11837905.0,29048220.0,37589007.0,46116593.0,54145484.0,56944350.0,60156279.0,65425640.0,80560314.0,90326185.0,96002529.0,97770045.0
00002,Spokane Transit Authority (STA),Spokane,WA,"Spokane, WA",83764,171.67,447279,,,,,,,,,,,,5342687.0,5588122.0,5716583.0,5847503.0,6337764.0,6666523.0,7862183.0,7867601.0,9343526.0,10151749.0,10314643.0,10364381.0,9850615.0,9222045.0,8735265.0,9553029.0,10658762.0,11170369.0
00006,City of Yakima (YT),Yakima,WA,"Yakima, WA",97507,55.77,133145,,,,,,,,,,,,399281.0,434234.0,452130.0,451948.0,474278.0,538185.0,776186.0,798079.0,890844.0,981876.0,857965.0,1247378.0,1322795.0,1349072.0,1323751.0,1317543.0,1064175.0,1029557.0
00007,Lane Transit District (LTD),Eugene,OR,"Eugene, OR",28117,73.49,270179,,,,,,,,,,,,4398327.0,4727872.0,4503709.0,4614359.0,5359118.0,5442772.0,6364547.0,6935139.0,7391720.0,7729470.0,7125596.0,7368680.0,7661239.0,7953238.0,7676486.0,8054468.0,7652382.0,7637181.0
00008,Tri-County Metropolitan Transportation District of Oregon,Portland,OR,"Portland, OR--WA",71317,519.3,2104238,,,,,,,,,,,,54778216.0,54444840.0,57142621.0,60936514.0,70209334.0,77597071.0,82511222.0,93181389.0,96141476.0,99628864.0,104560672.0,115232541.0,118798735.0,123219141.0,125705014.0,125060994.0,121443392.0,114894061.0
00024,Clark County Public Transportation Benefit Area Authority,Vancouver,WA,"Portland, OR--WA",71317,519.3,2104238,,,,,,,,,,,,3591053.0,3618254.0,3997897.0,4766441.0,5060166.0,5580408.0,6613087.0,6938258.0,7177150.0,7692735.0,7704373.0,7971100.0,8088346.0,7820987.0,7520985.0,6857096.0,6572944.0,6855157.0
00046,City of Wilsonville (SMART),Wilsonville,OR,"Portland, OR--WA",71317,519.3,2104238,,,,,,,,,,,,0.0,0.0,0.0,0.0,33360.0,126320.0,133456.0,174413.0,164431.0,172489.0,179633.0,223931.0,251511.0,248995.0,190235.0,179887.0,199277.0,206398.0
00058,City of Portland (PBOT) - Bureau of Transportation,Portland,OR,"Portland, OR--WA",71317,519.3,2104238,,,,,,,,,,,,,,,,,,,,,,0.0,779050.0,1027039.0,1102068.0,1573689.0,1575943.0,1998196.0,1835041.0
00376,"Ride Connection, Inc.",Portland,OR,"Portland, OR--WA",71317,519.3,2104238,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,17305.0,16795.0
00011,Valley Regional Transit (VRT),Meridian,ID,"Boise City, ID",08785,139.23,433180,,,,,,,,,,,,734191.0,713842.0,822604.0,753682.0,706326.0,776445.0,963287.0,969520.0,962713.0,972196.0,946545.0,992877.0,970971.0,1020472.0,885703.0,937458.0,861272.0,946385.0
00415,Ada County Highway District (ACHD CR),Boise,ID,"Boise City, ID",08785,139.23,433180,,,,,,,,,,,,,,,,,,,,,,,,,,,980002.0,982883.0,1011733.0
00012,Municipality of Anchorage - Public Transportation,Anchorage,AK,"Anchorage, AK",02305,91.69,249252,,,,,,,,,,,,3060957.0,3304700.0,3653174.0,3998286.0,4593133.0,4996229.0,5072992.0,5644026.0,5658021.0,6623303.0,6864069.0,6146925.0,7084984.0,6586808.0,6004865.0,4922412.0,5242332.0,5199597.0
00041,Alaska Railroad Corporation (ARRC),Anchorage,AK,"Anchorage, AK",02305,91.69,249252,,,,,,,,,,,,725212.0,814088.0,927822.0,1231778.0,1343905.0,1481165.0,1551649.0,1394379.0,1279438.0,1445703.0,14500525.0,15470981.0,16453864.0,19932525.0,21161796.0,23264241.0,25655269.0,26097415.0
00016,City of Longview (RCT) - Transit Division,Longview,WA,"Longview, WA--OR",51283,35.19,69841,,,,,,,,,,,,98997.0,95988.0,101290.0,98735.0,101551.0,116354.0,131521.0,75258.0,141335.0,149436.0,146213.0,144230.0,121006.0,148287.0,194570.0,188903.0,177102.0,190425.0
00018,Ben Franklin Transit (BFT),Richland,WA,"Kennewick--Richland--Pasco, WA",44479,112.21,255401,,,,,,,,,,,,1572646.0,1577366.0,,2154112.0,2215366.0,2809566.0,3523056.0,3968962.0,3936631.0,4247319.0,4107368.0,3826230.0,4220235.0,3980658.0,3928449.0,3841261.0,3621144.0,3238899.0
00019,Intercity Transit (I.T.),Olympia,WA,"Olympia--Lacey, WA",65242,106.21,208157,,,,,,,,,,,,1728081.0,1805783.0,1899431.0,2070124.0,2356589.0,2694152.0,3103933.0,3941411.0,3942756.0,4042793.0,4380984.0,4919217.0,5035124.0,4833189.0,4707018.0,4276121.0,4214478.0,4054067.0
00020,Kitsap County Public Transportation Benefit Area Authority (KT ),Bremerton,WA,"Bremerton, WA",09946,146.91,224449,,,,,,,,,,,,1988482.0,2046223.0,2404860.0,2618577.0,3736861.0,3914082.0,4684644.0,6394413.0,7953400.0,7922783.0,7177782.0,6812629.0,6731844.0,6670208.0,5435938.0,5796142.0,6584400.0,8028378.0
00021,Whatcom Transportation Authority (WTA),Bellingham,WA,"Bellingham, WA",06652,50.13,128979,,,,,,,,,,,,934536.0,1031042.0,1030058.0,1009433.0,1146818.0,1232096.0,1418086.0,1730272.0,1923805.0,1971441.0,2109216.0,2152854.0,2176087.0,1983060.0,2706732.0,2833875.0,2786494.0,2684705.0
00025,Salem Area Mass Transit District (SAMTD or SKT),Salem,OR,"Salem, OR",78229,72.68,268331,,,,,,,,,,,,1464637.0,1582502.0,1793920.0,2239426.0,2422370.0,2716127.0,3143900.0,3615709.0,2585767.0,2570752.0,2877103.0,2739142.0,2977112.0,3332021.0,3183074.0,3346700.0,3401214.0,2909098.0
00034,Rogue Valley Transportation District (RVTD),Medford,OR,"Medford, OR",55981,63.02,171640,,,,,,,,,,,,472055.0,636746.0,735846.0,887808.0,929273.0,1143744.0,1191378.0,1223561.0,1328177.0,1355218.0,1223717.0,1450332.0,1263264.0,1376401.0,1149008.0,1257944.0,1302817.0,1301746.0
00043,Chelan Douglas PTBA ,Wenatchee,WA,"Wenatchee, WA",93862,32.6,78142,,,,,,,,,,,,,,298704.0,324739.0,380617.0,502004.0,573697.0,658947.0,696315.0,792113.0,793063.0,712896.0,689090.0,657487.0,636598.0,635163.0,620318.0,640211.0
00044,Skagit Transit (SKT),Burlington,WA,"Mount Vernon, WA",60490,30.66,66825,,,,,,,,,,,,,,170881.0,196388.0,290475.0,437860.0,565000.0,706037.0,699000.0,780428.0,900079.0,971256.0,993174.0,946168.0,859170.0,864584.0,909834.0,935049.0
00057,Central Oregon Intergovernmental Council (CET) - Cascades East Transit,Bend,OR,"Bend, OR",06868,42.41,106988,,,,,,,,,,,,,,,,,,,,,,529695.0,516993.0,584432.0,648177.0,764872.0,739239.0,627487.0,712078.0
10001,Rhode Island Public Transit Authority (RIPTA),Providence,RI,"Providence, RI--MA",72505,544.25,1285806,,,,,,,,,,,,10629025.0,11321831.0,14374497.0,19992021.0,21947512.0,23050439.0,24118694.0,24765075.0,18733138.0,20513041.0,21980654.0,22464647.0,22670139.0,19951729.0,19068063.0,20088587.0,20090946.0,18843696.0
10064,Greater Attleboro-Taunton Regional Transit Authority (GATRA),Taunton,MA,"Providence, RI--MA",72505,544.25,1285806,,,,,,,,,,,,1796505.0,1675643.0,1722820.0,1535974.0,1452012.0,2008906.0,2033820.0,1837126.0,1825546.0,1581440.0,1643404.0,1687647.0,1576359.0,1373487.0,1227933.0,893317.0,820309.0,1181988.0
11147,Rhode Island Department of Transportation (RIDOT),Providence,RI,"Providence, RI--MA",72505,544.25,1285806,,,,,,,,,,,,,,,,,,,,,,,,,,,361510.0,372864.0,381667.0
10003,Massachusetts Bay Transportation Authority (MBTA) - Treasurer Controller,Boston,MA,"Boston, MA--NH",09271,1655.89,4382009,,,,,,,,,,,,290533067.0,283071935.0,303544254.0,327580811.0,341868507.0,395876376.0,449670261.0,456042219.0,445707914.0,455503249.0,472185325.0,564945469.0,576853118.0,602771384.0,619056043.0,659480966.0,659727894.0,671521399.0
10004,Brockton Area Transit Authority (BAT),Brockton,MA,"Boston, MA--NH",09271,1655.89,4382009,,,,,,,,,,,,3055618.0,2381736.0,3179212.0,3047694.0,3133197.0,3135565.0,3085445.0,3482049.0,3561513.0,3676306.0,3850779.0,3741942.0,3821032.0,3865705.0,3888255.0,3644548.0,3682303.0,3923083.0
10005,Lowell Regional Transit Authority (LRTA),Lowell,MA,"Boston, MA--NH",09271,1655.89,4382009,,,,,,,,,,,,781061.0,944840.0,880114.0,929149.0,870242.0,996621.0,1047057.0,1094812.0,1105363.0,1135972.0,1232555.0,1270546.0,1323831.0,1393145.0,1371165.0,1301349.0,1326599.0,1468715.0
10013,Merrimack Valley Regional Transit Authority (MEVA),Haverhill,MA,"Boston, MA--NH",09271,1655.89,4382009,,,,,,,,,,,,864737.0,983491.0,952130.0,1096209.0,1143744.0,1260661.0,1300645.0,1416840.0,1358749.0,1448614.0,1605538.0,1696565.0,1681811.0,1792786.0,2006842.0,1792098.0,1784759.0,1670607.0
10053,Cape Ann Transportation Authority (CATA),Gloucester,MA,"Boston, MA--NH",09271,1655.89,4382009,,,,,,,,,,,,193385.0,207021.0,191584.0,197211.0,205158.0,222551.0,229278.0,197673.0,186467.0,190113.0,191873.0,185975.0,180806.0,165245.0,185451.0,182875.0,180227.0,188703.0
10118,MetroWest Regional Transit Authority (MWRTA),Framingham,MA,"Boston, MA--NH",09271,1655.89,4382009,,,,,,,,,,,,,,,,,,632201.0,534440.0,518721.0,529616.0,601273.0,645330.0,594484.0,589933.0,582951.0,622656.0,1026261.0,927536.0
10006,Southeastern Regional Transit Authority (SRTA),New Bedford,MA,"New Bedford, MA",61786,59.31,155491,,,,,,,,,,,,1963474.0,1662515.0,1686638.0,1749796.0,1731609.0,1708593.0,1751584.0,1907985.0,1600580.0,1976707.0,2140170.0,2122788.0,2254402.0,2309260.0,2501970.0,2413058.0,2378967.0,2466765.0
10007,Berkshire Regional Transit Authority (BRTA),Pittsfield,MA,"Pittsfield, MA",69778,30.46,50720,,,,,,,,,,,,781473.0,714659.0,672883.0,483689.0,878206.0,893178.0,977917.0,1041011.0,1197054.0,912343.0,922286.0,921225.0,896411.0,949465.0,920505.0,832570.0,819615.0,777780.0
