NTD ID,Agency Name,City,State,Primary UZA Name,UZA Area SQ Miles,UZA Population,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
00001,King County (KCM) - Metro Transit Department,Seattle,WA,"Seattle--Tacoma, WA",982.52,3544011,80089274.0,83692713.0,83712089.0,82564127.0,83503354.0,90533872.0,96389937.0,93990113.0,99567800.0,103030144.0,101000283.0,97517472.0,98547887.0,102088497.0,98609744.0,106273556.0,113928156.0,122976146.0,115834273.0,113637312.0,117086557.0,119952268.0,123192043.0,125340418.0,126268526.0,127384761.0,127954193.0,129054197.0,128666612.0,60165932.0,52698393.0,66445408.0,78886848.0
00003,Pierce County Transportation Benefit Area Authority,Lakewood,WA,"Seattle--Tacoma, WA",982.52,3544011,10063513.0,10466957.0,10653191.0,12824384.0,12270811.0,12618872.0,13927598.0,13931267.0,14458029.0,14596536.0,14511506.0,13998841.0,14331875.0,15111891.0,13395565.0,13630165.0,14519524.0,16288954.0,15560527.0,15280450.0,13444661.0,11847684.0,11646847.0,11510558.0,10321907.0,9764786.0,9678293.0,9737856.0,9408240.0,5303721.0,4849354.0,5548156.0,6792245.0
00005,City of Everett (ET),Everett,WA,"Seattle--Tacoma, WA",982.52,3544011,1815868.0,1880388.0,1951575.0,2051297.0,1772307.0,1639383.0,1510621.0,1512472.0,1437654.0,1553295.0,1616793.0,1566780.0,2005505.0,2017034.0,2048844.0,2208035.0,2331495.0,2628874.0,2603957.0,2403168.0,2454022.0,2394831.0,2117070.0,2091852.0,2066036.0,2067142.0,2025267.0,1929323.0,1732001.0,861133.0,813662.0,1072281.0,1404970.0
00023,City of Seattle (SMS),Seattle,WA,"Seattle--Tacoma, WA",982.52,3544011,2222567.0,2181050.0,2118988.0,2119317.0,2290934.0,2537633.0,2537826.0,2659599.0,2429568.0,2463597.0,2524826.0,2048793.0,2102333.0,764893.0,1506240.0,239726.0,1589065.0,1559792.0,1732301.0,1789137.0,1890867.0,2106846.0,2092672.9999999998,2162624.0,2292953.0,2243329.0,2129479.0,2021780.0,1939224.0,298349.0,666872.0,1633951.0,2134977.0
00028,County of Pierce,Tacoma,WA,"Seattle--Tacoma, WA",982.52,3544011,115175.0,125647.0,134332.0,140837.0,159867.0,161354.0,178320.0,172890.0,176755.0,190174.0,191597.0,191233.0,197979.0,204432.0,212541.0,211996.0,196094.0,192511.0,201419.0,195859.0,183861.0,183432.0,182838.0,191188.0,187856.0,405581.0,436280.0,443016.0,460515.0,399845.0,450737.0,438385.0,446539.0
00029,Snohomish County Public Transportation Benefit Area Corporation (CT),Everett,WA,"Seattle--Tacoma, WA",982.52,3544011,2988858.0,4945204.0,5169770.0,5350232.0,5911473.0,6897264.0,8064873.0,8337194.0,8708746.0,8063380.0,9070637.0,9384102.0,8860946.0,9712307.0,8867291.0,9678043.0,10875413.0,11918776.0,11372498.0,10041136.0,9655130.0,9093588.0,9096345.0,9810286.0,10038230.0,10251998.0,10359529.0,10647554.0,11093256.0,5677279.0,4874397.0,5785140.0,7146008.0
00035,Washington State Ferries (WSF),Olympia,WA,"Seattle--Tacoma, WA",982.52,3544011,12494484.0,13211974.0,13008044.0,13099580.0,13354393.0,13858740.0,13968253.0,14700724.0,15117680.0,15197994.0,15140278.0,14489277.0,24543754.0,24408361.0,23880997.0,23788391.0,24051761.0,23318705.0,22510781.0,22614325.0,22346871.0,22219140.0,22395169.0,22850673.0,23657447.0,24089468.0,24239866.0,24566419.0,24255403.0,19376331.0,15326725.0,17156046.0,18241119.0
00040,Central Puget Sound Regional Transit Authority (ST),Seattle,WA,"Seattle--Tacoma, WA",982.52,3544011,,,,,,,,,0.0,100360.0,494586.0,817405.0,1017956.0,1749880.0,10968661.0,12397667.0,14411630.0,16623185.0,19667886.0,23404742.0,25992868.0,28540694.0,30264506.0,32942639.0,34668278.0,42732202.0,46795663.0,48188694.0,47805583.0,15870047.0,17768904.0,32014474.0,37571636.0
00002,Spokane Transit Authority (STA),Spokane,WA,"Spokane, WA",171.67,447279,7601690.0,7428411.0,7950775.0,7968287.0,7983064.0,8362417.0,8698067.0,8467496.0,8602784.0,9009765.0,8887170.0,8045998.0,8061642.0,8299300.0,8280757.0,9066485.0,10110368.0,11851256.0,11884241.0,11436200.0,11550354.0,11771880.0,11811344.0,12045936.0,11498777.0,10922108.0,10920193.0,10702358.0,10568157.0,6114361.0,5560634.0,6995911.0,9403739.0
00006,City of Yakima (YT),Yakima,WA,"Yakima, WA",55.77,133145,1446057.0,1613019.0,1635395.0,1473784.0,1249890.0,1107915.0,956997.0,1006778.0,1007246.0,1279100.0,1355772.0,1166237.0,1121918.0,1136136.0,1218288.0,1305492.0,1434178.0,1655533.0,1531016.0,1501368.0,1631938.0,1698754.0,1419269.0,1295217.0,1268127.0,1185587.0,1174920.0,1103595.0,1056918.0,591791.0,520862.0,513484.0,646711.0
