UACE,Name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
80389,"Seattle--Tacoma, WA",2399735,2434454,2469173,2503892,2538611,2573329,2608048,2642767,2677486,2712205,2746923,2781642,2816361,2851080,2885799,2920517,2955236,2989955,3024674,3059393,3107854,3156316,3204778,3253240,3301702,3350163,3398625,3447087,3495549,3544011,3592472,3640934,3689396
83764,"Spokane, WA",287167,292466,297765,303064,308363,313662,318961,324260,329559,334858,340156,345455,350754,356053,361352,366651,371950,377249,382548,387847,393790,399733,405676,411619,417563,423506,429449,435392,441335,447279,453222,459165,465108
97507,"Yakima, WA",97769,99441,101113,102785,104457,106128,107800,109472,111144,112816,114487,116159,117831,119503,121175,122846,124518,126190,127862,129534,129895,130256,130617,130978,131339,131700,132061,132422,132783,133145,133506,133867,134228
28117,"Eugene, OR",203014,205351,207688,210025,212363,214700,217037,219374,221711,224049,226386,228723,231060,233397,235735,238072,240409,242746,245083,247421,249696,251972,254248,256524,258800,261075,263351,265627,267903,270179,272454,274730,277006
71317,"Portland, OR--WA",1343054,1369730,1396406,1423082,1449758,1476434,1503110,1529786,1556462,1583138,1609814,1636490,1663166,1689842,1716518,1743194,1769870,1796546,1823222,1849898,1875332,1900766,1926200,1951634,1977068,2002502,2027936,2053370,2078804,2104238,2129672,2155106,2180540
08785,"Boise City, ID",203271,210977,218683,226389,234095,241801,249507,257213,264919,272625,280330,288036,295742,303448,311154,318860,326566,334272,341978,349684,358033,366383,374732,383082,391432,399781,408131,416480,424830,433180,441529,449879,458228
02305,"Anchorage, AK",202794,205344,207894,210444,212994,215544,218094,220644,223194,225744,228293,230843,233393,235943,238493,241043,243593,246143,248693,251243,251043,250844,250645,250446,250247,250048,249849,249650,249451,249252,249052,248853,248654
51283,"Longview, WA--OR",57284,57635,57986,58337,58688,59039,59390,59741,60092,60443,60793,61144,61495,61846,62197,62548,62899,63250,63601,63952,64540,65129,65718,66307,66896,67485,68074,68663,69252,69841,70429,71018,71607
44479,"Kennewick--Richland--Pasco, WA",102439,108151,113864,119576,125289,131001,136713,142426,148138,153851,159563,165275,170988,176700,182413,188125,193837,199550,205262,210975,215417,219860,224302,228745,233188,237630,242073,246515,250958,255401,259843,264286,268728
65242,"Olympia--Lacey, WA",114314,117593,120872,124151,127430,130709,133988,137267,140546,143826,147105,150384,153663,156942,160221,163500,166779,170058,173337,176617,179771,182925,186079,189233,192387,195541,198695,201849,205003,208157,211311,214465,217619
09946,"Bremerton, WA",159820,161881,163942,166003,168064,170125,172186,174247,176308,178369,180430,182491,184552,186613,188674,190735,192796,194857,196918,198979,201526,204073,206620,209167,211714,214261,216808,219355,221902,224449,226996,229543,232090
06652,"Bellingham, WA",57189,60204,63219,66234,69249,72264,75279,78294,81309,84324,87338,90353,93368,96383,99398,102413,105428,108443,111458,114473,115923,117374,118824,120275,121726,123176,124627,126077,127528,128979,130429,131880,133330
